Fighter_Name,Height_cm,Weight_lbs,Reach_cm,Age,Win_Rate,Total_Fights,SLpM,Str_Acc_f,SApM,Str_Def_f,TD_Avg,TD_Acc_f,TD_Def_f,Sub_Avg
Joe Vedepo,182.9,185.0,182.9,41.0,0.6666666666666666,27,1.43,0.42,5.71,0.38,1.07,0.2,0.0,0.0
Kelly Velasco,175.3,135.0,182.9,28.6,0.6666666666666666,3,2.27,0.35,5.67,0.47,0.0,0.0,1.0,0.0
Greg Velasco,188.0,265.0,177.8,30.3,0.8571428571428571,7,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0
Cain Velasquez,185.4,240.0,195.6,41.4,0.8235294117647058,17,6.37,0.57,2.33,0.57,5.13,0.45,0.85,0.4
David Velasquez,165.1,145.0,182.9,57.2,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojan Velickovic,182.9,170.0,193.0,35.0,0.6818181818181818,22,2.18,0.34,2.31,0.57,0.67,0.25,0.55,0.5
Karlos Vemola,182.9,185.0,190.5,38.5,0.7727272727272727,22,1.67,0.44,2.13,0.37,1.93,0.25,0.31,1.7
Luigi Vendramini,172.7,155.0,185.4,28.0,0.75,12,2.82,0.4,3.82,0.57,1.11,0.15,1.0,0.6
Jerrel Venetiaan,185.4,195.0,182.9,52.8,0.5714285714285714,7,0.81,0.33,1.51,0.67,0.0,0.0,0.6,0.0
Scott Ventimiglia,180.3,185.0,182.9,51.1,0.6666666666666666,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Vera,190.5,230.0,198.1,46.2,0.6818181818181818,22,3.03,0.56,2.81,0.52,0.7,0.53,0.59,0.2
Kerry Vera,170.2,135.0,182.9,36.8,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Vera,167.6,135.0,175.3,36.2,0.75,16,1.53,0.57,2.79,0.49,0.0,0.0,0.25,1.6
Isis Verbeek,162.6,115.0,162.6,29.0,0.7142857142857143,7,3.13,0.43,3.53,0.53,0.0,0.0,0.66,0.0
Ernie Verdicia,180.3,199.0,182.9,36.8,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Veres,170.2,155.0,182.9,46.1,0.5714285714285714,7,0.0,0.0,5.55,0.27,0.0,0.0,0.0,0.0
CJ Vergara,167.6,125.0,172.7,32.5,0.6,20,5.02,0.56,4.69,0.53,0.0,0.0,0.6,0.2
Renato Verissimo,185.4,170.0,182.9,50.4,0.5833333333333334,12,0.92,0.48,1.87,0.47,1.46,0.3,0.5,2.5
Bryan Vetell,190.5,265.0,182.9,46.4,0.5714285714285714,7,2.74,0.6,2.13,0.41,0.0,0.0,0.0,0.0
Marvin Vettori,182.9,185.0,188.0,30.3,0.6333333333333333,30,4.74,0.45,4.55,0.56,1.41,0.43,0.68,0.4
Hugo Viana,167.6,135.0,170.2,41.3,0.6666666666666666,12,3.05,0.38,3.2,0.57,0.22,0.06,0.5,0.0
Guilherme Viana,193.0,205.0,182.9,36.8,0.7,10,2.92,0.4,2.72,0.59,1.2,0.66,0.77,0.0
Vitor Vianna,177.8,205.0,182.9,44.1,0.75,16,3.1,0.3,8.28,0.52,0.0,0.0,0.0,0.0
James Vick,190.5,155.0,193.0,36.9,0.7222222222222222,18,4.13,0.39,3.31,0.6,0.26,0.33,0.57,0.7
Tamires Vidal,167.6,135.0,172.7,25.4,0.6363636363636364,11,2.91,0.53,4.46,0.49,0.0,0.0,0.35,0.7
Milton Vieira,182.9,145.0,182.9,45.2,0.5652173913043478,23,1.13,0.35,2.36,0.48,2.67,0.53,0.12,0.7
Reginaldo Vieira,170.2,135.0,165.1,41.1,0.7222222222222222,18,3.76,0.4,2.89,0.59,1.97,0.27,0.25,0.8
Steve Vigneault,177.8,185.0,182.9,45.9,0.6666666666666666,18,2.19,0.28,5.75,0.44,0.0,0.0,1.0,0.0
